Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
pub-cristina-artacho-b-73-31b,"Madrid Area, Spain",Consultoría de estrategia y operaciones,January 2004,Human Resources,Management Solutions,Deloitte,"International HR Management: Recruiting, Training, Development (Performance Appraisal Program & Mentorship), Expatriation Management, Benefits, HR Policies, Turnover Management, HRIS implementations, Payroll Coordination. Geographic experience: North, Central, and Southamerica, Europe, China."
pub-cristina-caresia-20-476-860,"São Paulo Area, Brazil",Consultoria de gerenciamento,January 2011,Internal Audit Manager Latin America,Ally Bank,Deloitte,"Bachelor of Business Administration, with more than 18 years of diversified experience in the areas of financial planning, internal audit and public accounting.At Deloitte during 10 years, providing audit and advisory services, my experience includes the review and evaluation internal controls, including compliance with Sarbanes-Oxley, external audit procedures, business process reviews, internal audit projects in local and foreign companies, contract risk compliance works and risk management process implementation.Lived in New York City, from May 2010 to December 2010.Currently working at Ally Bank as Internal Audit Manager for Latin America and Mexico."
pub-cristiÃ¡n-faÃºndez-inostroza-2b-ba8-50,Chile,Derecho,octubre de 2012,Abogado Tributario,BDO Auditores y Consultores,Deloitte,"Abogado. Licenciado en Ciencias Jurídicas y Sociales, Universidad de Chile. Experiencia en asesorías tributarias. Diplomado en Tributación, Facultad de Economía y Negocios, Universidad de Chile. Ayudante de la cátedra Derecho Tributario, Facultad de Derecho, Universidad de Chile."
pub-cyrus-bilimoria-7-477-868,"Mumbai Area, India",Financial Services,June 2010,Valuation & Advisory Regional Manager,Cushman & Wakefield,Ernst & Young,Dedictaed to building a career in finance and real estate
pub-cÃ©sar-vives-alcÃ¡ntara-5b-7b-9a2,Perú,Aeronáutica/Aviación,junio de 2011,Analista IT,LAN Airlines,Ernst & Young,"Bachiller de Ingeniería de Sistemas con experiencia en gestión de proyectos de TI. Alto grado de responsabilidad, proactividad, capacidad de análisis y planeamiento de objetivos. Persona entusiasta y de carácter dinámico, capacidad de liderazgo y facilidad de adaptación a trabajar y dirigir equipos. Disposición para asumir nuevos retos alineados a objetivos estratégicos del negocio y al desarrollo personal.EspecialidadesGestión de Proyectos.Gestión de Servicios.Análisis de Procesos e Indicadores."
pub-d-ontae-thibodeaux-cpa-20-917-a65,Dallas/Fort Worth Area,Accounting,January 2012,Senior Accountant,McAfee,PwC,"D'Ontae joined PwC's MLP Group in 2009. Since joining the group D'Ontae has been involved in various MLP transactions including mergers, formations, and conversions. D'Ontae enjoys helping clients solve complex business problems and proposes viable solutions that build value. When D'Ontae is not working on the tax consulting side of MLPs he participates in the enhancement of PwCs proprietary partnership allocation software. This includes writing requirements for new functionality, testing code changes, and working extensively in Visual Basics for Application and Microsoft Excel doing data analysis."
pub-dagnija-kairiÅ¡a-14-8aa-911,Latvia,Accounting,June 2010,Senior Group Controller,Tieto,KPMG,"Experience in external audit, project management, financial data analyses, consolidated statements."
pub-dalia-bondi-hernandez-2b-5a6-131,Venezuela,Recursos humanos,julio de 2011,Consultor de Compensación y Beneficios,Avon,KPMG,"Industriólogo con sólida experiencia en el diseño de programas de compensación y beneficios, análisis de competitividad externa, descripción y valoración de cargos con base en la metodología Hay, lo que le ha facilitado generar propuestas de valor, en el diseño e implantación de estrategias de compensación dirigidas a la retención de personal clave y al posicionamiento de la organización en el mercado de referencia, en estrecha vinculación a los objetivos estratégicos del negocio."
pub-damien-henneken-31-b56-431,Hong Kong,Financial Services,July 2007,Executive Director,Morgan Stanley,KPMG,Tax Lawyer
pub-damien-pedersen-35-42b-388,"Sydney Area, Australia",Accounting,August 2012,Manager,RSM Bird Cameron,PwC,"Damien is a Financial Statements preparation specialist with 13 years experience working on a wide variety of clients and industries and is part of a team of dedicated specialists focusing on outsourced statutory financial statements preparation.He has significant accounting experience, primarily with all aspects of monthly management accounting, half yearly and annual preparation of financial reports."
pub-damien-woods-4-b41-815,"Melbourne Area, Australia",Human Resources,October 2008,Principal Advisor Professional Development,Rio Tinto,Ernst & Young,"Currently Principal Advisor in the Leadership and People Development global practice for Rio Tinto. Focus is on design of strategy to build capability across our global business and to ensure we have the people capital to meet our operational objectives.The role has focussed on design of formal programs, informal learning strategies (on-the-job learning, specal projects, secondments), design and implementation of social media platform to foster informal learning, coaching and mentoring programs, capability/competency models and looking at alternative delivery mechanisms (such as immersive learning technology, serious business games, online simulations).Recent project:- building the concept and business case for an online simulation on running a mining operation.- design of an implementation framework for a global HR transformation, focussed on the HR business partner work.- Pilot for using immersive learning technology to deliver learning programs.- Design and implementation of a social networking platform to support cross group collaboration and innovation.- Design and implementation of a global graduate development programme.- Design and implementation of competency models (technical and functional - including HR, procurement, data and information management, learning and development)For the past 4 years I have worked on many global design projects and then on successful implementation at the product group, business unit and site level. I have a keen understanding of the delivery challenges in a global matrix organisation.I have also been on an internal human captial planning project for 18 months, looking at building our group-wide people straegy and building HCP capability across the HR function. The project team have focussed on building a clear supply/demand picture, alignment of HCP strategy to business objectives and embedding HCP skills more broadly across the group."
